rank,title,description,runtime,genre,rating,metascore,votes,gross,director,actors
11.,Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",132 min,"Drama, Romance",7.9,93.0,"197,519",$18.10M,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
12.,Dunkirk,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",106 min,"Action, Drama, History",7.9,94.0,"526,562",$188.37M,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
13.,Omerta,"A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh, who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.",98 min,"Action, Biography, Crime",7.2,,"1,663",,Hansal Mehta,"Rajkummar Rao, Rajesh Tailang, Satwant Kaur, Blake Allan"
14.,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",113 min,"Action, Crime, Drama",7.6,86.0,"419,527",$107.83M,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
15.,Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",104 min,"Horror, Mystery, Thriller",7.7,85.0,"469,104",$176.04M,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
16.,Devil's Gate,"Seeking a missing woman in North Dakota, an FBI agent and a sheriff focus on her religious zealot husband but discover something far more sinister.",94 min,"Horror, Sci-Fi, Thriller",5.1,37.0,"4,387",,Clay Staub,"Amanda Schull, Shawn Ashmore, Milo Ventimiglia, Bridget Regan"
17.,El guardián invisible,A female inspector confronts a serial killer while dealing with the ghosts of her past.,129 min,Thriller,6.4,,"10,457",,Fernando González Molina,"Marta Etura, Elvira Mínguez, Nene, Francesc Orella"
18.,Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",133 min,"Action, Adventure, Sci-Fi",7.4,73.0,"491,559",$334.20M,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei"
19.,The Hitman's Bodyguard,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",118 min,"Action, Comedy, Crime",6.9,47.0,"180,060",$75.47M,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung"
20.,Star Wars: Episode VIII - The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",152 min,"Action, Adventure, Fantasy",7.0,84.0,"545,579",$620.18M,Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher"
21.,Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",129 min,"Family, Fantasy, Musical",7.1,65.0,"262,682",$504.01M,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad"
22.,Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",141 min,"Action, Adventure, Fantasy",7.4,76.0,"533,335",$412.56M,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis"
23.,Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",119 min,"Action, Adventure, Comedy",6.9,58.0,"306,465",$404.52M,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
24.,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",137 min,"Action, Drama, Sci-Fi",8.1,77.0,"624,393",$226.28M,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
25.,Lady Bird,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",94 min,"Comedy, Drama",7.4,94.0,"226,593",$48.96M,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges"
